id_tweet,id_candidate,score_importance,notation_1,notation_2,notation_3,notation_4,notation_5,nb_smiley_happy,nb_smiley_unhappy
1081252009183985665,26,1,4.5,0.0,3.5,4.5,0.0,0,0
1081670510755368960,8,1,5.0,5.0,5.0,5.0,1.0,0,0
1081665605797888000,8,1,3.5,4.5,0.0,5.0,5.0,0,0
1081680435392974848,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1081670537825435649,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1081665513334419456,7,1,5.0,4.5,0.0,4.5,0.0,0,0
1081665020004585473,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1081664693100560385,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1081661470318968833,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1081657847715381248,7,1,5.0,5.0,1.0,5.0,5.0,0,0
1081650363428683776,7,1,4.5,3.5,0.0,5.0,5.0,0,0
1081650015209177092,7,1,0.0,3.5,4.5,4.5,5.0,0,0
1081987134200922118,7,1,0.0,4.5,4.5,0.0,3.5,0,0
1081885938060529664,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1081870248146624512,7,1,1.0,5.0,1.0,5.0,4.0,0,0
1082421187114872833,7,1,4.5,0.0,5.0,4.5,0.0,0,0
1082290204134858753,7,1,5.0,4.5,0.0,4.5,0.0,0,0
1082195467541319681,8,1,0.0,4.5,4.5,0.0,3.5,0,0
1082359622365822976,8,1,4.5,0.0,3.5,4.5,5.0,0,0
1082241697143246848,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1082213722414821376,23,1,5.0,4.5,0.0,4.5,0.0,0,0
1082213311918297088,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1082132922918887425,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1082132021525209088,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1082714582265856006,7,1,5.0,5.0,5.0,5.0,1.0,0,0
1083476324117708800,7,1,5.0,4.5,0.0,4.5,0.0,0,0
1083352012429897728,0,1,0.0,4.5,4.5,0.0,5.0,0,0
1083170606194049026,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1083642418384261120,7,1,5.0,4.5,0.0,4.5,0.0,0,0
1084214525493235717,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084202308723007489,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084200681920253952,15,1,5.0,4.5,0.0,4.5,0.0,0,0
1084200542363111425,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084200085750276097,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084199991789477888,15,1,5.0,5.0,0.0,5.0,5.0,0,0
1084196273706754051,15,1,5.0,4.5,0.0,4.5,0.0,0,0
1084209962061086720,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084208623574753281,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084184323627073536,14,1,5.0,4.5,0.0,4.5,0.0,0,0
1084577932834729987,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084429795407134720,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084378913646788610,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084495738611138561,15,1,5.0,4.5,0.0,4.5,0.0,0,0
1084748640344829953,15,1,5.0,4.5,0.0,4.5,0.0,0,0
1084738305126813696,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1084785922221187078,0,1,5.0,4.5,0.0,4.5,0.0,0,0
1085260239102976003,26,1,5.0,1.0,3.0,0.0,0.0,0,0
1085232233395433473,7,1,5.0,4.5,0.0,4.5,0.0,0,0
1084974385084186624,15,1,5.0,4.5,0.0,4.5,0.0,0,0
1085485859309346816,0,1,4.5,0.0,3.5,4.5,5.0,0,0
1086281766464147456,10,1,4.5,5.0,5.0,4.5,3.5,0,0
1086217898555781120,2,1,5.0,4.5,0.0,4.5,0.0,0,0
1086734623772688384,2,1,5.0,4.5,0.0,4.5,0.0,0,0
1086733285491904512,30,1,4.5,0.0,3.5,4.5,5.0,0,0
1086731218543169536,30,1,5.0,4.5,0.0,4.5,0.0,0,0
1086733834924769281,2,1,5.0,4.5,0.0,4.5,0.0,0,0
1086729885081628672,30,1,5.0,4.5,0.0,4.5,0.0,0,0
1087107512522993673,10,1,5.0,4.5,0.0,4.5,0.0,0,0
1087045954447069186,10,1,0.0,4.5,4.5,5.0,0.0,0,0
1087020160458940417,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1087027500260225024,2,1,4.5,0.0,5.0,4.5,0.0,0,0
1086947281365098496,2,1,4.5,1.0,5.0,5.0,5.0,0,0
1086916761952415744,24,1,5.0,4.5,0.0,4.5,0.0,0,0
1087326248567799808,30,1,0.0,1.0,1.0,4.0,5.0,0,0
1087424093421518848,11,1,5.0,4.5,0.0,4.5,0.0,0,0
1087381091193896962,26,1,0.5,5.0,4.0,1.0,5.0,0,0
1087356198364606464,2,1,5.0,4.5,0.0,4.5,0.0,0,0
1087324957951049728,2,1,5.0,4.5,0.0,4.5,0.0,0,0
1087299868182396930,24,1,5.0,4.5,0.0,4.5,0.0,0,0
1087271080283127811,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1087444799538544641,1,1,5.0,4.5,0.0,4.5,0.0,0,0
1087432766210355200,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1087311636816375808,30,1,5.0,4.5,0.0,4.5,0.0,0,0
1087419583949094912,26,1,4.5,0.0,5.0,4.5,0.0,0,0
1087283512904949760,1,1,5.0,4.5,0.0,4.5,0.0,0,0
1087731691853103104,10,1,5.0,3.0,0.0,0.5,4.5,0,0
1087685695433592833,10,1,5.0,4.5,0.0,4.5,0.0,0,0
1087679585494487043,1,1,5.0,4.5,0.0,4.5,0.0,0,0
1087633718636933120,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1087959512236126208,10,1,0.0,4.5,3.5,4.5,5.0,0,0
1088552133912416257,10,1,5.0,4.5,0.0,4.5,0.0,0,0
1088554964081917952,10,1,5.0,4.5,0.0,4.5,0.0,0,0
1089274780811972608,17,1,5.0,4.5,0.0,4.5,0.0,0,0
1089274116694331392,17,1,5.0,4.5,0.0,4.5,0.0,0,0
1089270483927871488,22,1,1.0,5.0,0.5,4.0,4.5,0,0
1089258235171926017,25,1,1.0,5.0,0.5,4.0,5.0,0,0
1089257321128226817,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089255087338336259,6,1,5.0,4.5,0.0,4.5,0.0,0,0
1089259458222542853,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089256602270658560,10,1,4.5,0.0,0.0,4.5,3.5,0,0
1089259846594121728,25,1,0.0,4.5,4.5,0.0,3.5,0,0
1089259783415349249,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089192174489665536,7,1,5.0,4.5,0.0,4.5,0.0,0,0
1089231297824858112,17,1,5.0,4.5,0.0,4.5,0.0,0,0
1089093430574223360,11,1,5.0,4.5,0.0,4.5,0.0,0,0
1089654722125070336,25,1,4.5,0.0,5.0,4.5,0.0,0,0
1089466210700460032,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089671541070221313,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089585084099895297,17,1,0.0,4.5,4.5,0.0,5.0,0,0
1089583493225549825,22,1,5.0,5.0,4.5,4.5,3.5,0,0
1089578512204349440,30,1,4.5,0.0,4.5,0.0,3.5,0,0
1089575632957247488,22,1,5.0,4.5,0.0,4.5,0.0,0,0
1089570840667217924,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089573888730820614,25,1,5.0,4.5,0.0,5.0,4.5,0,0
1089431316553256960,17,1,5.0,4.5,0.0,4.5,0.0,0,0
1089463548886073344,22,1,5.0,4.5,0.0,4.5,0.0,0,0
1089317338694987776,25,1,4.5,4.5,5.0,4.5,4.5,0,0
1089317288359194624,24,1,0.0,3.5,4.5,4.5,5.0,0,0
1089460950351138817,22,1,0.0,4.5,4.5,0.0,3.5,0,0
1089319381098815488,22,1,5.0,4.5,0.0,4.5,0.0,0,0
1089462266725044225,25,1,0.0,4.5,4.5,5.0,0.0,0,0
1089430767367790592,26,1,4.5,0.0,5.0,4.5,0.0,0,0
1089320675284828161,17,1,5.0,4.5,0.0,4.5,0.0,0,0
1090014091509465089,22,1,3.5,4.5,0.0,5.0,5.0,0,0
1089829215795593217,17,1,4.5,0.0,5.0,4.5,0.0,0,0
1089811151989411840,17,1,5.0,4.5,0.0,4.5,0.0,0,0
1090010312340836353,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1089789165192073216,17,1,4.5,0.0,3.5,4.5,5.0,0,0
1089776048458190848,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1090299248141316097,17,1,4.5,0.0,5.0,4.5,0.0,0,0
1090917622403813376,10,1,5.0,4.5,0.0,4.5,0.0,0,0
1090917384750288896,10,1,4.5,0.0,4.5,0.0,3.5,0,0
1091437350931128320,25,1,5.0,4.5,0.0,4.5,0.0,0,0
1091805151420186624,27,1,5.0,5.0,2.5,0.0,5.0,0,0
1091795178191507458,26,1,4.5,0.0,5.0,4.5,0.0,0,0
1091738563119591424,22,1,4.5,5.0,5.0,1.0,5.0,0,0
1091709149338054656,22,1,5.0,4.5,0.0,4.5,0.0,0,0
1091675271693062144,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1092112448948260871,26,1,0.0,3.5,4.5,5.0,4.5,0,0
1092186813861638145,27,1,5.0,4.5,0.0,4.5,0.0,0,0
1092114968756002817,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1092082302400806918,27,1,4.5,0.0,5.0,4.5,0.0,0,0
1091957798978703361,27,1,5.0,4.5,0.0,4.5,0.0,0,0
1092422327860645889,18,1,5.0,4.5,0.0,4.5,0.0,0,0
1092364348813660160,17,1,0.0,4.5,4.5,5.0,0.0,0,0
1093188790095626241,24,1,5.0,4.5,0.0,4.5,0.0,0,0
1093181643563720712,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1093552595258478592,26,1,4.5,0.0,5.0,4.5,0.0,0,0
1093527716475727872,27,1,5.0,4.5,0.0,4.5,0.0,0,0
1093952806078369792,8,1,4.5,0.0,4.5,0.0,3.5,0,0
1093866700146126853,2,1,4.0,0.0,5.0,4.0,1.0,0,0
1093789128183943168,11,1,5.0,4.5,0.0,4.5,0.0,0,0
1094351639849431040,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094351005133754368,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094347292361011201,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094347202783252480,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094346781264101383,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094345941631545345,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094354784168103936,19,1,4.5,0.0,4.5,0.0,3.5,0,0
1094353434969550850,19,1,4.5,0.0,5.0,4.5,0.0,0,0
1094282872201068544,26,1,4.0,2.5,4.0,1.0,3.0,0,0
1094166021244682240,26,1,5.0,4.5,0.0,4.5,0.0,0,0
1094537548788105216,19,1,4.5,0.0,5.0,4.5,0.0,0,0
1094496491404709889,28,1,5.0,4.5,0.0,4.5,0.0,0,0
1094623508880154625,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094597142449131522,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1094386063433441280,19,1,5.0,4.5,0.0,4.5,0.0,0,0
1095051164872101888,4,1,5.0,5.0,4.5,4.5,1.0,0,0
1095040062314762240,8,1,5.0,4.5,0.0,4.5,0.0,0,0
1095252839939653632,4,1,5.0,4.5,0.0,4.5,0.0,0,0
